geohash,logradouro,numero,cep
6gkznkqx13c,Rua Monsenhor Manoel Vicente,842,80620-230
6gkznkvswrc,Rua Santa Catarina,180,80620-100
6gkznm47j2b,Rua Professor Sebastião Paraná,270,80320-070
6gkznm4efky,Rua Professor Sebastião Paraná,240,80320-070
6gkznm8xdzk,Rua Professor Guido Straube,605,80320-030
6gkznmk68d9,Rua Professor Alvaro Jorge,75,80320-040
6gkznmqh2yx,Rua Guilherme Pugsley,1394,80620-000
6gkznn1dc79,Avenida Presidente Arthur da Silva Bernardes,274,80320-300
6gkznn1dxmg,Avenida Presidente Arthur da Silva Bernardes,286,80320-300
6gkznn1f15n,Avenida Presidente Arthur da Silva Bernardes,328,80320-300
6gkznn1fb8e,Avenida Presidente Arthur da Silva Bernardes,286,80320-300
6gkznn1rpze,Avenida Presidente Arthur da Silva Bernardes,198,80320-300
6gkznn1v32f,Avenida Presidente Arthur da Silva Bernardes,216,80320-300
6gkznn1x6k0,Avenida Presidente Arthur da Silva Bernardes,198,80320-300
6gkznnqh44y,Avenida Iguaçu,3919,80240-031
6gkznnsyrb1,Avenida Silva Jardim,4172,80240-021
6gkznp0bd5b,Avenida Nossa Senhora Aparecida,713,80310-100
6gkznqemsvj,Rua Cândido Xavier,575,80240-041
6gkznqjj8k5,Avenida República Argentina,900,80620-010
6gkznqprzc5,Avenida Água Verde,1413,80620-200
6gkznqsx9q0,Avenida Presidente Getúlio Vargas,3158,80240-041
6gkznrtdw05,Avenida Republica Argentina,30,80240-210
6gkznrtruxh,Avenida Sete de Setembro,5190,80250-000
6gkznry9kb9,Avenida Sete de Setembro,5011,80240-000
6gkznwj406w,Rua Nestor Vitor,350,80620-400
6gkznwytrv5,Rua Brasílio Itiberê,3279,80250-160
6gkznxn7fmk,Rua Buenos Aires,1260,80250-070
6gkznybb7hw,Rua Baltazar Carrasco dos Reis,2610,80250-130
6gkznyrgg24,Rua Desembargador Westphalen,2469,80220-030
6gkznznbt2v,Rua Chile,1525,80220-180
6gkzp05s87z,Rua Waldemar Kost,2055,81630-180
6gkzp20s8wp,Rua Professor João Soares Barcelos,1595,81670-080
6gkzp5hebwn,Linha Verde,12500,81690-200
6gkzp5kpjjv,Avenida Presidente Wenceslau Braz,88,81030-030
6gkzp5r095t,Avenida Marechal Floriano Peixoto,4742,81630-000
6gkzp5rpvfc,Avenida Marechal Floriano Peixoto,4707,81610-000
6gkzp9suq8s,Rua Júlio Saavedra,598,81570-180
6gkzpb5gfj9,Rua Rodolfo Bernardelli,138,81580-010
6gkzpbmv7cr,Rua Helena Andretta de Oliveira,149,81560-235
6gkzpbsxq3r,Avenida Senador Salgado Filho,4809,81570-001
6gkzpbus2tx,Avenida Senador Salgado Filho,4717,80215-270
6gkzpc5yfqw,Avenida Senador Salgado Filho,4460,81570-001
6gkzpcepdv5,Avenida Senador Salgado Filho,4175,81570-001
6gkzpe28e64,Avenida Senador Salgado Filho,2368,81510-001
6gkzpjeruqz,Rua João Parolin,224,80220-902
6gkzpjtpd3h,Rua João Parolin,55,80220-290
6gkzpju6b5t,Rua João Parolin,224,80220-902
6gkzpjvjuzg,Rua João Parolin,224,80220-902
6gkzpktpx77,Rua Governador Jorge Lacerda,11,81510-040
6gkzpm9px6u,Avenida Senador Salgado Filho,463,80215-270
6gkzpp04254,Avenida Marechal Floriano Peixoto,2287,80220-180
6gkzpqkncw5,Rua João Marchesini,139,80215-432
6gkzpqwqp1d,Linha Verde,10000,81690-100
6gkzpqyfv1q,Rua Doutor Salvador de Maio,203,80210-131
6gkzprqm8fe,Avenida Comendador Franco,1341,80215-090
6gkzprs6mbf,Avenida Comendador Franco,1341,80215-090
6gkzprv0u2f,Avenida Comendador Franco,1341,80215-090
6gkzpsug917,Av. Coronel Francisco Heráclito Dos Santos,1540,81530-001
6gkzpt1p23v,Avenida Comendador Franco,2958,81270-730
6gkzpt3e4ct,Avenida Comendador Franco,2921,81530-434
