geohash,logradouro,numero,cep
6gkzr6dvq21,Rua Camões,172,80045-260
6gkzr6g1f9d,Rua Fernando Amaro,1116,80045-380
6gkzr6gn002,Rua XV de Novembro,2765,80050-981
6gkzr6kkpkv,Avenida Senador Souza Naves,1221,80050-152
6gkzr6pz2v6,Avenida Senador Souza Naves,1715,80050-152
6gkzr75fpke,Rua 15 de Novembro,2882,80045-340
6gkzr7ge3fg,Rua Itupava,1356,80045-330
6gkzr7h45dz,Rua XV de Novembro,2916,80045-380
6gkzr8fpm89,Avenida Presidente Affonso Camargo,2305,80020-220
6gkzr8s62hp,Rua Urbano Lopes,475,80050-520
6gkzr93xg1p,Rua Oyapock,114,80050-450
6gkzr947vbd,Rua Oyapock,1,80020-220
6gkzr94eyt3,Rua Governador Agamenon Magalhaes,90 - 300,80050-510
6gkzr967gse,Rua João Pontoni,120,80050-490
6gkzr968kqj,Rua Governador Agamenon Magalhaes,145,80050-510
6gkzr9891zb,Rua Coronel Pedro Scherer Sobrinho,233,80050-470
6gkzr98zg9x,Rua Oyapock,259,80050-450
6gkzr99gsuh,Rua Coronel Pedro Scherer Sobrinho,426,80050-470
6gkzr99ksf3,Rua Coronel Pedro Scherer Sobrinho,365,80050-470
6gkzr9b9pnd,Avenida São José,1040,80050-350
6gkzr9e3dvv,Av. Mal. Humberto de Alencar Castelo Branco,800,82530-195
6gkzr9e5zrj,Avenida Marechal Humberto de Alencar Castelo Branco,986,80050-480
6gkzr9fjj2m,Avenida São José,1240,80050-350
6gkzr9k1rg4,Avenida Nossa Senhora da Penha,85,80050-510
6gkzrbhhddq,Rua Antônio Meirelles Sobrinho,519,82900-240
6gkzrd4hpuk,Avenida Marechal Humberto de Alencar Castelo Branco,669,82530-020
6gkzre5f6jx,Avenida Victor Ferreira do Amaral,441,82530-230
6gkzreqqk50,Rua Monte Castelo,963,82530-200
6gkzrhgembk,Avenida Augusto Stresser,406,80030-340
6gkzrjzeeyn,Rua São Pedro,650,80035-020
6gkzrk82rfm,Rua Simão Bolivar,875,80040-140
6gkzrknf8yg,Rua Conselheiro Carrão,1600,80040-130
6gkzrkugfrn,Avenida Augusto Stresser,1719,80040-310
6gkzrkukerh,Avenida Augusto Stresser,1619,80040-310
6gkzrm862sm,Rua São Pedro,669,80035-010
6gkzrm8bemv,Rua São Pedro,910,80035-020
6gkzrnu65f5,Avenida Anita Garibaldi,548,80540-180
6gkzrnxe2g5,Rua Chichorro Júnior,442,80035-049
6gkzrp0srdm,Rua Rocha Pombo,792,80530-290
6gkzrq9t7nn,Rua João Américo de Oliveira,47,80035-060
6gkzrrqk84g,Avenida Prefeito Erasto Gaertner,308,82510-160
6gkzrrv5c9b,Rua Costa Rica,233,82510-180
6gkzrtwqxh8,Rua Lange de Morretes,94,82820-530
6gkzruv266y,Rua Mário do Amaral,216,82820-460
6gkzrwvnery,Rua Escola de Oficiais Especialistas,1011,82515-030
6gkzrxbvu7p,Avenida Prefeito Erasto Gaertner,797,82510-160
6gkzrxc1rcj,Avenida Prefeito Erasto Gaertner,1000,82510-901
6gkzsb5nkdh,Rua Hermenegildo Luca,101,82310-110
6gkztdzpmr2,Avenida Fredolin Wolf,3539,82410-330
6gkzw0ht7q7,Rua Vitório Sbaqueiro,627,82100-060
6gkzw0kvh4s,Rua Jefferson César,158,82100-160
6gkzw0pjgne,Gardênio Scorzato,913,81020-430
6gkzw2s5x2z,Rua Elvira B Polak,40,82100-380
6gkzw6hu504,Rua Guy de Maupassant,661,82110-350
6gkzwg2t9qc,Rua Aldo Pinheiro,90,82130-230
6gkzwg3518x,Rua Vitório João Brunor,688,82130-080
6gkzwg909kd,Rua Mateus Leme,5839,82130-210
6gkzwyx7qp9,Rua Santa Gema Galgani,353,82220-010
6gkzx0mm2ne,Rua Travessa Rodolpho Rosenau,157,82200-340
6gkzx1p3ep3,Rua Ary Barroso,337,82210-600
6gkzx27z1u6,Rua Jovino do Rosário,331,82540-115
6gkzx3pw8wz,Rua João Havro,31,82560-020
6gkzx44hk57,Rua Júlio Pedroso de Morais,10,82540-330
6gkzx480vt2,Rua José Sperancetta,66,82210-130
6gkzx7u108h,Rua Delegado Miguel Zacarias,403,82650-090
6gkzx837bgt,Rua Costa Rica,858,82510-180
6gkzx841pwm,Avenida Prefeito Erasto Gaertner,1000,82510-901
6gkzx87rsk8,Rua Álvaro Botelho,87,82515-290
6gkzx8s917y,Avenida Prefeito Erasto Gaertner,1399,82515-000
6gkzx92g3u6,Rua Ernesto Piazzetta,202,82510-350
6gkzx992zms,Rua Lodovico Geronazzo,68,82560-040
6gkzxc4zxfq,Avenida José Gulin,105,82600-360
6gkzxcrpzmj,Rua Jorge Bonn,460,82600-290
6gkzxd1vnjv,Rua José Merhy,1680,82560-440
6gkzxd73zrq,Rua Jovino Rosário,1790,82510-290
6gkzxdv2c1r,Avenida Paraná,3693,82510-000
6gkzxehb21x,Rua Nicolau Scheffer,230,82640-390
6gkzxfrpyx1,Rua Doutor Satilas do Amaral Camargo,73,82620-265
6gkzxghs3xp,Rua Doutor Martins Alves Camargo,187,82620-260
6gkzxhwvwr4,Rua dos Ipês,1,82700-380
6gkzxq2g0ex,Rua Fernando de Noronha,3055,82650-505
6gkzxus84xr,Avenida Paraná,5050,82620-360
