rota_ref,lexname
BR-324,rodovia.engenheiro.alberto.tavares.silva
BR-324,rodovia.engenheiro.vasco.filho
BR-324,rodovia.santos.dumont
BR-330,rodovia.330
BR-330,rodovia.barragem.pedras
BR-342,rodovia.br
BR-342,rodovia.governador.mario.covas
BR-342,rodovia.quinze.novembro
BR-342,rodovia.santos.dumont
BR-352,rodovia.go.020
BR-352,rodovia.gustavo.capanema
BR-354,rodovia.vital.brasil
BR-356,rodovia.batista.miranda
BR-356,rodovia.br.120.br.356
BR-356,rodovia.br.356
BR-356,rodovia.inconfidentes
BR-356,rodovia.itaperuna
BR-356,rodovia.presidente.juscelino.kubitschek
BR-356,rodovia.sebastiao.cunha.castro
BR-364,estrada.pacifico
BR-364,rodovia.brigadeiro.faria.lima
BR-364,rodovia.domingos.briante
BR-364,rodovia.juscelino.kubitschek.oliveira
BR-364,rodovia.transbrasiliana
BR-364,rodovia.washington.luis
BR-365,rodovia.br.365.br.365
BR-365,rodovia.br.365.pista.lateral
BR-367,rodovia.orozimbo.cunha.peixoto
BR-367,rodovia.oscar.von.bentzeen.rodrigues
BR-369,rodovia.deputado.roge.ferreira
BR-369,rodovia.deputado.vicente.botta
BR-369,rodovia.engenheiro.paulo.nilo.romano
BR-369,rodovia.melo.peixoto
BR-369,rodovia.prefeito.euberto.nemesio.pereira.godoy
BR-373,rodovia.deputado.laercio.corte
BR-374,rodovia.castello.branco
BR-374,rodovia.presidente.castelo.branco
BR-374,rodovia.raposo.tavares
BR-376,rodovia.cafe.governador.ney.braga
BR-376,rodovia.governador.mario.covas
BR-376,rodovia.henrique.herwig
BR-381,rodovia.antonio.daher
BR-381,rodovia.br.381
BR-381,rodovia.engenheiro.benedito.quintino
BR-381,rodovia.fernao.dias
BR-383,rodovia.carlos.pedroso.silveira
BR-383,rodovia.floriano.rodrigues.pinheiro
BR-383,rodovia.itajuba.maria.fe
BR-383,rodovia.itajuba.pirangucu
BR-383,rodovia.ministro.gabriel.passos
BR-383,rodovia.oswaldo.cruz
BR-383,rodovia.vital.brasil
BR-386,rodovia.governador.leonel.moura.brizola
BR-392,estrada.cassino
BR-392,estrada.pelotas
BR-392,estrada.rio.grande
BR-392,estrada.rodagem.rio.grande.pelotas
BR-392,rodovia.general.bento.goncalves
BR-392,rodovia.integracao
BR-392,rodovia.jayme.caetano.braun
BR-393,estrada.bom.jesus
BR-393,rodovia.cachoeiro
BR-393,rodovia.contorno
BR-393,rodovia.lucio.meira
BR-393,rodovia.lucio.meira.br.393
BR-393,rodovia.prefeito.nelson.santos.goncalves
BR-402,rodovia.br.402
BR-408,rodovia.governador.antonio.mariz
BR-408,rodovia.maria.marta.lopes.burity
BR-414,rodovia.br.414
BR-414,rodovia.go
BR-429,rodovia.br.429
BR-447,estrada.capuaba
BR-448,rodovia.mario.quintana
BR-448,rodovia.parque
BR-449,rodovia.professor.boanerges.nogueira
BR-453,rodovia.sao.vendelino
BR-457,rodovia.go.010
BR-459,rodovia.estadual.paulo.virginio
BR-459,rodovia.juscelino.kubitschek.oliveira
BR-459,rodovia.lorena.itajuba
BR-459,rodovia.wenceslau.braz
BR-465,estrada.rio.sao.paulo
BR-467,rodovia.doutor.ernesto.dall´.oglio
BR-467,rodovia.jose.neves.formighieri
BR-470,estrada.barragem.vila.aurora
BR-470,estrada.buarque.macedo
BR-470,rodovia.general.bento.goncalves
BR-470,rodovia.governador.leonel.moura.brizola
BR-470,rodovia.ingo.hering
BR-470,rodovia.sao.vendelino
BR-470,rodovia.ulysses.guimaraes
BR-471,estrada.pelotas
BR-471,estrada.rio.grande
BR-471,estrada.santa.vitoria.palmar
BR-471,rodovia.general.bento.goncalves
BR-471,rodovia.hainsi.gralow
BR-472,rodovia.integracao
BR-472,rodovia.osvaldo.aranha
BR-473,estrada.general.artigas
BR-473,rodovia.osvaldo.aranha
BR-475,rodovia.ulysses.guimaraes
BR-476,estrada.ribeira
BR-476,rodovia.regis.bittencourt
BR-476,rodovia.xisto
BR-477,rodovia.ingo.hering
BR-478,rodovia.doutor.miguel.affonso.ferreira.castilho
BR-478,rodovia.padre.guilherme.hovel
BR-478,rodovia.raimundo.antunes.soares
BR-482,rodovia./.482
BR-482,rodovia.br
BR-482,rodovia.cachoeiro
BR-482,rodovia.engenheiro.fabiano.vivacqua
BR-482,rodovia.oraida.mendes.castro
BR-484,estrada.airituba
BR-484,rodovia.bom.jesus.x.sao.jose.calcado
